OpenJDK 64-Bit Server VM (25.252-b09) for windows-amd64 JRE (1.8.0_252-Huawei_JDK_V100R001C00SPC192B002-b09), built on Apr 15 2020 20:00:00 by "Jenkins" with MS VC++ 16.2.5 (VS2019)
Memory: 4k page, physical 16654948k(11354436k free), swap 19145316k(13530380k free)
CommandLine flags: -XX:InitialHeapSize=134217728 -XX:MaxHeapSize=134217728 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2020-10-28T22:47:31.133+0800: 0.367: [Full GC (Ergonomics) [PSYoungGen: 14441K->12124K(29184K)] [ParOldGen: 87404K->87260K(87552K)] 101845K->99385K(116736K), [Metaspace: 2987K->2987K(1056768K)], 0.0028091 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T22:47:31.136+0800: 0.370: [Full GC (Ergonomics) [PSYoungGen: 14724K->12609K(29184K)] [ParOldGen: 87260K->87309K(87552K)] 101984K->99919K(116736K), [Metaspace: 2987K->2987K(1056768K)], 0.0102402 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2020-10-28T22:47:31.148+0800: 0.381: [Full GC (Ergonomics) [PSYoungGen: 14793K->12717K(29184K)] [ParOldGen: 87309K->87550K(87552K)] 102102K->100267K(116736K), [Metaspace: 2987K->2987K(1056768K)], 0.0062405 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-28T22:47:31.154+0800: 0.388: [Full GC (Ergonomics) [PSYoungGen: 14621K->13271K(29184K)] [ParOldGen: 87550K->87267K(87552K)] 102171K->100539K(116736K), [Metaspace: 2987K->2987K(1056768K)], 0.0091192 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2020-10-28T22:47:31.164+0800: 0.398: [Full GC (Ergonomics) [PSYoungGen: 14567K->13447K(29184K)] [ParOldGen: 87267K->87131K(87552K)] 101835K->100578K(116736K), [Metaspace: 2987K->2987K(1056768K)], 0.0072348 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-28T22:47:31.171+0800: 0.405: [Full GC (Ergonomics) [PSYoungGen: 14787K->13471K(29184K)] [ParOldGen: 87131K->87131K(87552K)] 101919K->100603K(116736K), [Metaspace: 2987K->2987K(1056768K)], 0.0025509 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T22:47:31.175+0800: 0.408: [Full GC (Ergonomics) [PSYoungGen: 14542K->13960K(29184K)] [ParOldGen: 87131K->87131K(87552K)] 101674K->101092K(116736K), [Metaspace: 2987K->2987K(1056768K)], 0.0024260 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T22:47:31.177+0800: 0.411: [Full GC (Ergonomics) [PSYoungGen: 14707K->14036K(29184K)] [ParOldGen: 87131K->86947K(87552K)] 101839K->100983K(116736K), [Metaspace: 2987K->2987K(1056768K)], 0.0128792 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2020-10-28T22:47:31.190+0800: 0.425: [Full GC (Ergonomics) [PSYoungGen: 14728K->14144K(29184K)] [ParOldGen: 86947K->86947K(87552K)] 101676K->101092K(116736K), [Metaspace: 2987K->2987K(1056768K)], 0.0022643 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T22:47:31.193+0800: 0.427: [Full GC (Ergonomics) [PSYoungGen: 14309K->14309K(29184K)] [ParOldGen: 86947K->86754K(87552K)] 101256K->101063K(116736K), [Metaspace: 2987K->2987K(1056768K)], 0.0076459 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-28T22:47:31.201+0800: 0.435: [Full GC (Ergonomics) [PSYoungGen: 14664K->14594K(29184K)] [ParOldGen: 87499K->87499K(87552K)] 102163K->102094K(116736K), [Metaspace: 2987K->2987K(1056768K)], 0.0024010 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2020-10-28T22:47:31.204+0800: 0.438: [Full GC (Allocation Failure) [PSYoungGen: 14594K->14594K(29184K)] [ParOldGen: 87499K->87480K(87552K)] 102094K->102075K(116736K), [Metaspace: 2987K->2987K(1056768K)], 0.0093774 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
Heap
 PSYoungGen      total 29184K, used 14848K [0x00000000fd580000, 0x0000000100000000, 0x0000000100000000)
  eden space 14848K, 100% used [0x00000000fd580000,0x00000000fe400000,0x00000000fe400000)
  from space 14336K, 0% used [0x00000000ff200000,0x00000000ff200000,0x0000000100000000)
  to   space 14336K, 0% used [0x00000000fe400000,0x00000000fe400000,0x00000000ff200000)
 ParOldGen       total 87552K, used 87480K [0x00000000f8000000, 0x00000000fd580000, 0x00000000fd580000)
  object space 87552K, 99% used [0x00000000f8000000,0x00000000fd56e190,0x00000000fd580000)
 Metaspace       used 3018K, capacity 4486K, committed 4864K, reserved 1056768K
  class space    used 317K, capacity 386K, committed 512K, reserved 1048576K
